"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","getWeatherByZip","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherPositiveTests","Weather Positive Tests","api.openweather.tests.WeatherPositiveTests","getWeatherByZip"
"","57","getWeatherByCityApiKeyInvalid","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherNegativeTests","Weather Negative Tests","api.openweather.tests.WeatherNegativeTests","getWeatherByCityApiKeyInvalid"
"","68","getWeatherByCityApiKeyMissing","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherNegativeTests","Weather Negative Tests","api.openweather.tests.WeatherNegativeTests","getWeatherByCityApiKeyMissing"
"","69","getWeatherTestWithoutParameters","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherNegativeTests","Weather Negative Tests","api.openweather.tests.WeatherNegativeTests","getWeatherTestWithoutParameters"
"","81","etWeatherByCityCitySpecialCharacters","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherNegativeTests","Weather Negative Tests","api.openweather.tests.WeatherNegativeTests","etWeatherByCityCitySpecialCharacters"
"","78","getWeatherByCityWithInvalidUnits","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherPositiveTests","Weather Positive Tests","api.openweather.tests.WeatherPositiveTests","getWeatherByCityWithInvalidUnits"
"Verify that the API returns correct weather data when a valid city is provided.","61","getWeatherTest","OpenWeather API Tests","2026-06-09","failed","2026-06-09","api.openweather.tests.WeatherPositiveTests","Weather Positive Tests","api.openweather.tests.WeatherPositiveTests","getWeatherTest"
"","1619","getWeatherByCityEmptyUnit","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherPositiveTests","Weather Positive Tests","api.openweather.tests.WeatherPositiveTests","getWeatherByCityEmptyUnit"
"","86","getWeatherByCityUnitsImperial","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherPositiveTests","Weather Positive Tests","api.openweather.tests.WeatherPositiveTests","getWeatherByCityUnitsImperial"
"Verify that the API returns error response when an invalid city is provided.","62","getWeatherTestInvalidCity","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherNegativeTests","Weather Negative Tests","api.openweather.tests.WeatherNegativeTests","getWeatherTestInvalidCity"
"","85","getWeatherByCityUnitMissing","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherPositiveTests","Weather Positive Tests","api.openweather.tests.WeatherPositiveTests","getWeatherByCityUnitMissing"
"","79","getWeatherByCoordinates","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherPositiveTests","Weather Positive Tests","api.openweather.tests.WeatherPositiveTests","getWeatherByCoordinates"
"","59","getWeatherTestWithInvalidParameters","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherNegativeTests","Weather Negative Tests","api.openweather.tests.WeatherNegativeTests","getWeatherTestWithInvalidParameters"
"","109","getWeatherByCityInvalidLang","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherPositiveTests","Weather Positive Tests","api.openweather.tests.WeatherPositiveTests","getWeatherByCityInvalidLang"
"","89","getWeatherByCityWithUnits","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherPositiveTests","Weather Positive Tests","api.openweather.tests.WeatherPositiveTests","getWeatherByCityWithUnits"
"","63","getWeatherByCityCityNumeric","OpenWeather API Tests","2026-06-09","passed","2026-06-09","api.openweather.tests.WeatherNegativeTests","Weather Negative Tests","api.openweather.tests.WeatherNegativeTests","getWeatherByCityCityNumeric"
